type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score,Reproducibility
records,33221,36366,33020,3346,201,0.993949610186328,0.907990980586262,MGI_WGS_HCC1395_01-2.strelka.norm.SNV_HC,0.9490278356589593,0.9509702953862949
indels,1709,2860,1670,1190,39,0.9771796372147454,0.5839160839160841,ANO_WGS_HCC1395_03-1.strelka.norm.SNV_HC,0.7310133508426352,0.7805478605654147
SNVs,31512,34204,31371,2833,141,0.9955255140898706,0.9171734300081862,ANO_WGS_HCC1395_03-1.strelka.norm.SNV_HC,0.9547446588349869,0.9563494720490284
records,33221,37064,33041,4023,180,0.9945817404653684,0.8914580185624865,ANO_WGS_HCC1395_03-1.strelka.norm.SNV_HC,0.9402006117948353,0.9430198795139274
indels,1709,2972,1635,1337,74,0.9566998244587478,0.5501345895020189,MGI_WGS_HCC1395_01-1.strelka.norm.SNV_HC,0.6985686819055759,0.7534172069803833
SNVs,31512,33327,31012,2315,500,0.984133028687484,0.9305368019923784,MGI_WGS_HCC1395_01-1.strelka.norm.SNV_HC,0.9565847715109732,0.9573349153399313
records,33221,36299,32647,3652,574,0.9827217723728968,0.8993911678007659,MGI_WGS_HCC1395_01-1.strelka.norm.SNV_HC,0.9392117376294592,0.9410564700868314
indels,1709,2498,1675,823,34,0.9801053247513164,0.6705364291433147,WGE_WGS_2023_1.strelka.SNV_HC,0.7962918944616116,0.8253208769473156
SNVs,31512,32773,31291,1482,221,0.992986798679868,0.9547798492661642,WGE_WGS_2023_1.strelka.SNV_HC,0.9735085945399394,0.973883323973016
records,33221,35271,32966,2305,255,0.9923241323259384,0.9346488616710612,WGE_WGS_2023_1.strelka.SNV_HC,0.9626233720726508,0.9634864969984998
indels,1709,3006,1649,1357,60,0.9648917495611468,0.5485695276114437,MGI_WGS_HCC1395_03-1.strelka.norm.SNV_HC,0.6994697773064686,0.7567306385862953
SNVs,31512,33758,31068,2690,444,0.985910129474486,0.9203151845488476,MGI_WGS_HCC1395_03-1.strelka.norm.SNV_HC,0.9519840661866095,0.9531126570116668
records,33221,36764,32717,4047,504,0.9848288733030311,0.8899194864541399,MGI_WGS_HCC1395_03-1.strelka.norm.SNV_HC,0.9349717796670715,0.9373741798785855
indels,1709,4901,1654,3247,55,0.967817437097718,0.3374821465007141,SL_WGS_HCC1395_01-1.strelka.norm.SNV_HC,0.5004538577912254,0.652649791799216
SNVs,31512,37105,31270,5835,242,0.9923203858847424,0.8427435655572025,SL_WGS_HCC1395_01-1.strelka.norm.SNV_HC,0.9114359415305245,0.9175319757209724
records,33221,42006,32924,9082,297,0.9910598717678576,0.7837927915059754,SL_WGS_HCC1395_01-1.strelka.norm.SNV_HC,0.8753240193015805,0.8874263316369165
