type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score,Reproducibility
indels,1709,1083,990,93,719,0.5792861322410766,0.9141274238227148,SL_WGS_HCC1395_03-2.somatic.SNV_HC,0.7091690544412608,0.7467067780318957
SNVs,31512,24867,24452,415,7060,0.7759583650672759,0.9833112156673504,SL_WGS_HCC1395_03-2.somatic.SNV_HC,0.8674151723159332,0.8796347903673132
records,33221,25950,25442,508,7779,0.765840883778333,0.9804238921001928,SL_WGS_HCC1395_03-2.somatic.SNV_HC,0.8599482854776833,0.8731323879392628
indels,1709,1605,1432,173,277,0.8379169104739613,0.8922118380062305,BMK_WGS_HCC1395_03-1.somatic.SNV_HC,0.864212432106216,0.8650643742400959
SNVs,31512,32180,30835,1345,677,0.9785161208428536,0.9582038533250468,BMK_WGS_HCC1395_03-1.somatic.SNV_HC,0.9682534698235259,0.9683599870839501
records,33221,33785,32267,1518,954,0.971283224466452,0.9550688175225692,BMK_WGS_HCC1395_03-1.somatic.SNV_HC,0.9631077813927112,0.9631760209945106
indels,1709,955,888,67,821,0.5196021064950264,0.9298429319371728,SL_WGS_HCC1395_01-2.somatic.SNV_HC,0.6666666666666667,0.7247225192160995
SNVs,31512,23690,23343,347,8169,0.7407654226961158,0.9853524693963698,SL_WGS_HCC1395_01-2.somatic.SNV_HC,0.8457302271656824,0.8630589460462428
records,33221,24645,24231,414,8990,0.7293880376870052,0.983201460742544,SL_WGS_HCC1395_01-2.somatic.SNV_HC,0.8374866069885598,0.8562947492147747
indels,1709,1807,1482,325,227,0.8671737858396723,0.8201438848920863,BGI_T7_WGS_2023_1_T.somatic.SNV_HC,0.8430034129692832,0.8436588353658794
SNVs,31512,32455,31381,1074,131,0.9958428535161208,0.9669080264982284,BGI_T7_WGS_2023_1_T.somatic.SNV_HC,0.981162161739647,0.9813754400071746
records,33221,34262,32863,1399,358,0.9892236838144548,0.9591675909170508,BGI_T7_WGS_2023_1_T.somatic.SNV_HC,0.9739638131084867,0.9741956373657528
indels,1709,1580,1368,212,341,0.8004681100058514,0.8658227848101265,BGI_T20_WGS_2023_2_T.somatic.SNV_HC,0.8318637883855275,0.8331454474079889
SNVs,31512,32191,31198,993,314,0.99003554201574,0.9691528688142648,BGI_T20_WGS_2023_2_T.somatic.SNV_HC,0.9794829128926423,0.9795942054150024
records,33221,33771,32566,1205,655,0.9802835555823124,0.9643184981196884,BGI_T20_WGS_2023_2_T.somatic.SNV_HC,0.9722354908048721,0.9723010268510004
indels,1709,1601,1380,221,329,0.807489760093622,0.8619612742036228,BGI_T20_WGS_2023_1_T.somatic.SNV_HC,0.8338368580060423,0.8347255171486224
SNVs,31512,32220,31220,1000,292,0.9907336887534908,0.968963376784606,BGI_T20_WGS_2023_1_T.somatic.SNV_HC,0.9797276093642128,0.9798485327690483
records,33221,33821,32600,1221,621,0.9813070046055206,0.9638981697761746,BGI_T20_WGS_2023_1_T.somatic.SNV_HC,0.9725246860177202,0.9726025871908476
indels,1709,1687,1494,193,215,0.8741954359274431,0.8855957320687611,BMK_WGS_HCC1395_01-2.somatic.SNV_HC,0.8798586572438163,0.879895583998102
SNVs,31512,32674,31253,1421,259,0.9917809088601168,0.9565097631144028,BMK_WGS_HCC1395_01-2.somatic.SNV_HC,0.9738260679899043,0.9741453359872598
records,33221,34361,32747,1614,474,0.9857319165588032,0.953028142370711,BMK_WGS_HCC1395_01-2.somatic.SNV_HC,0.9691041993430204,0.9693800294647571
indels,1709,1619,1452,167,257,0.8496196606202457,0.8968499073502162,WGS_WUX_2023_3_T.somatic.SNV_HC,0.8725961538461537,0.873234783985231
SNVs,31512,32427,31355,1072,157,0.99501777100787,0.9669411293058254,WGS_WUX_2023_3_T.somatic.SNV_HC,0.9807785545598149,0.9809794501568477
records,33221,34046,32807,1239,414,0.9875380030703472,0.9636080596839571,WGS_WUX_2023_3_T.somatic.SNV_HC,0.9754262862919412,0.975573031377152
indels,1709,1764,1529,235,180,0.8946752486834406,0.8667800453514739,MGI_WGS_HCC1395_01-2.somatic.SNV_HC,0.8805067664843076,0.8807276470174572
SNVs,31512,32531,31327,1204,185,0.9941292206143691,0.9629891488119025,MGI_WGS_HCC1395_01-2.somatic.SNV_HC,0.9783114469965491,0.9785591847131359
records,33221,34295,32856,1439,365,0.9890129737214411,0.9580405306896048,MGI_WGS_HCC1395_01-2.somatic.SNV_HC,0.9732804076070857,0.9735267522055231
indels,1709,1051,968,83,741,0.5664131070801638,0.9210275927687916,SL_WGS_HCC1395_03-1.somatic.SNV_HC,0.7014492753623187,0.7437203499244778
SNVs,31512,25372,24988,384,6524,0.792967758314293,0.9848652057386096,SL_WGS_HCC1395_03-1.somatic.SNV_HC,0.8785598762393645,0.8889164820264512
records,33221,26423,25956,467,7265,0.7813130248938924,0.9823260038602732,SL_WGS_HCC1395_03-1.somatic.SNV_HC,0.8703641606867413,0.8818195143770828
indels,1709,1639,1475,164,234,0.8630778232884728,0.8999389871873094,BMK_WGS_HCC1395_03-2.somatic.SNV_HC,0.8811230585424135,0.8815084052378911
SNVs,31512,32538,31188,1350,324,0.9897182025894896,0.9585100497879404,BMK_WGS_HCC1395_03-2.somatic.SNV_HC,0.9738641686182671,0.974114126188715
records,33221,34177,32663,1514,558,0.9832033954426416,0.9557012025631272,BMK_WGS_HCC1395_03-2.somatic.SNV_HC,0.9692572479895545,0.9694522990028844
indels,1709,1712,1506,206,203,0.8812170860152135,0.8796728971962616,ANO_WGS_HCC1395_01-2.somatic.SNV_HC,0.8804443145279158,0.8804449916057375
SNVs,31512,32461,31257,1204,255,0.9919078446306168,0.9629093373586766,ANO_WGS_HCC1395_01-2.somatic.SNV_HC,0.977193503509293,0.9774085909946467
records,33221,34173,32763,1410,458,0.9862135396285482,0.958739355631639,ANO_WGS_HCC1395_01-2.somatic.SNV_HC,0.9722823990266196,0.9724764476300936
