Sample	rRNA counts	Yeast counts	No hits percentage	Mouse percentage	Mitoch counts	EColi percentage	Yeast percentage	EColi counts	Human percentage	Mitoch percentage	Vector percentage	Virus percentage	Adapter counts	ERCC percentage	Human counts	No hits counts	Vector counts	rRNA percentage	total_reads	ERCC counts	Phix counts	Adapter percentage	Mouse counts	Phix percentage	Virus counts
JTB_WGS_HCC1395_03-2_2	44.0	227.0	1.25	9.02	138.0	0.0	0.22	0.0	98.74	0.14	0.26	0.34	93.0	0.0	98742.0	1250	252.0	0.04	100000	3.0	0.0	0.09999999999999999	9031.0	0.0	345.0
MGI_WGS_HCC1395BL_02-1_1	102.0	176.0	0.66	8.14	160.0	0.0	0.16999999999999998	0.0	99.23	0.16	0.07	0.35	0.0	0.0	99223.0	660	76.0	0.1	100000	0.0	0.0	0.0	8140.0	0.0	351.0
MGI_WGS_HCC1395BL_02-2_1	90.0	325.0	0.66	10.5	222.0	0.0	0.32	0.0	99.22999999999999	0.22	0.17	0.56	0.0	0.0	99234.0	660	169.0	0.09	100000	3.0	0.0	0.0	10506.0	0.0	566.0
MGI_WGS_HCC1395BL_04-1_1	98.0	151.0	0.71	8.02	165.0	0.0	0.15	0.0	99.19	0.16	0.06999999999999999	0.32	0.0	0.0	99197.0	710	68.0	0.1	100000	0.0	0.0	0.0	8023.0	0.0	318.0
MGI_WGS_HCC1395BL_04-2_1	117.0	291.0	0.72	10.25	228.0	0.0	0.29	0.0	99.16999999999999	0.23	0.16999999999999998	0.5	0.0	0.0	99178.0	720	169.0	0.11	100000	1.0	0.0	0.0	10245.0	0.0	503.0
MGI_WGS_HCC1395_01-1_1	73.0	147.0	0.61	8.08	127.0	0.0	0.15	0.0	99.36999999999999	0.12	0.06999999999999999	0.24000000000000002	0.0	0.0	99377.0	610	63.0	0.07	100000	0.0	0.0	0.0	8082.0	0.0	244.0
MGI_WGS_HCC1395_01-2_1	69.0	281.0	0.68	10.19	130.0	0.0	0.28	0.0	99.3	0.13	0.13	0.38	0.0	0.0	99310.0	680	135.0	0.07	100000	1.0	0.0	0.0	10190.0	0.0	383.0
MGI_WGS_HCC1395_03-1_1	71.0	139.0	0.59	8.129999999999999	91.0	0.0	0.13999999999999999	0.0	99.39	0.09	0.06	0.22	0.0	0.0	99396.0	590	61.0	0.07	100000	0.0	0.0	0.0	8131.0	0.0	220.0
MGI_WGS_HCC1395_03-2_1	64.0	286.0	0.67	10.1	113.0	0.0	0.27999999999999997	0.0	99.32	0.11	0.15000000000000002	0.4	0.0	0.0	99326.0	670	146.0	0.06	100000	0.0	0.0	0.0	10106.0	0.0	400.0
NVG_WGS_HCC1395BL_02-1_1	113.0	424.0	1.68	11.67	266.0	0.05	0.43	55.0	97.96000000000001	0.27	0.32	0.85	48.0	0.01	97971.0	1680	322.0	0.12	100000	8.0	0.0	0.05	11680.0	0.0	848.0
NVG_WGS_HCC1395BL_02-1_2	102.0	332.0	1.68	11.43	265.0	0.05	0.33999999999999997	50.0	97.83	0.27	0.67	1.18	17.0	0.01	97840.0	1680	672.0	0.11	100000	7.0	0.0	0.02	11432.0	0.0	1176.0
NVG_WGS_HCC1395BL_02-2_1	107.0	320.0	0.74	10.84	225.0	0.0	0.32	0.0	99.13	0.23	0.22999999999999998	0.63	22.0	0.0	99137.0	740	224.0	0.11	100000	2.0	0.0	0.02	10842.0	0.0	622.0
NVG_WGS_HCC1395BL_02-2_2	97.0	316.0	0.72	10.969999999999999	223.0	0.0	0.32	0.0	99.09	0.22	0.46	0.86	9.0	0.0	99085.0	720	463.0	0.1	100000	1.0	0.0	0.01	10970.0	0.0	858.0
NVG_WGS_HCC1395BL_04-1_1	111.0	316.0	0.73	11.11	242.0	0.0	0.32	0.0	99.13999999999999	0.24	0.22	0.6399999999999999	26.0	0.0	99137.0	730	224.0	0.11	100000	0.0	0.0	0.03	11115.0	0.0	643.0
NVG_WGS_HCC1395BL_04-1_2	113.0	327.0	0.77	10.95	242.0	0.0	0.32999999999999996	0.0	98.97	0.24	0.59	1.03	5.0	0.0	98968.0	770	598.0	0.12	100000	4.0	0.0	0.01	10947.0	0.0	1031.0
NVG_WGS_HCC1395BL_04-2_1	127.0	309.0	0.69	11.06	266.0	0.0	0.31	0.0	99.17	0.26	0.2	0.67	29.0	0.0	99170.0	690	205.0	0.13	100000	3.0	0.0	0.03	11060.0	0.0	659.0
NVG_WGS_HCC1395BL_04-2_2	127.0	301.0	0.76	10.99	264.0	0.0	0.3	0.0	98.97	0.26	0.61	1.01	8.0	0.0	98969.0	760	610.0	0.12	100000	3.0	0.0	0.01	10986.0	0.0	1020.0
NVG_WGS_HCC1395_01-1_1	75.0	314.0	0.68	11.0	149.0	0.0	0.31	0.0	99.30000000000001	0.15	0.23	0.55	36.0	0.0	99299.0	680	234.0	0.07	100000	4.0	0.0	0.04	11005.0	0.0	555.0
NVG_WGS_HCC1395_01-1_2	78.0	279.0	0.69	10.85	149.0	0.0	0.27	0.0	99.18	0.15	0.55	0.8300000000000001	6.0	0.0	99179.0	690	548.0	0.08	100000	3.0	0.0	0.01	10839.0	0.0	831.0
NVG_WGS_HCC1395_01-2_1	74.0	281.0	0.71	10.440000000000001	135.0	0.0	0.28	0.0	99.26999999999998	0.13	0.19	0.48000000000000004	16.0	0.0	99268.0	710	183.0	0.07	100000	0.0	0.0	0.01	10441.0	0.0	488.0
NVG_WGS_HCC1395_01-2_2	78.0	293.0	0.71	10.65	139.0	0.0	0.3	2.0	99.18	0.14	0.5	0.78	4.0	0.0	99178.0	710	495.0	0.07	100000	2.0	0.0	0.0	10651.0	0.0	780.0
NVG_WGS_HCC1395_03-1_1	73.0	306.0	0.63	10.73	157.0	0.0	0.31	0.0	99.35999999999999	0.16	0.23	0.58	37.0	0.0	99354.0	630	224.0	0.07	100000	0.0	0.0	0.04	10734.0	0.0	578.0
NVG_WGS_HCC1395_03-1_2	72.0	292.0	0.65	10.68	159.0	0.0	0.29	0.0	99.22	0.16	0.5700000000000001	0.8700000000000001	10.0	0.0	99220.0	650	569.0	0.07	100000	3.0	0.0	0.01	10676.0	0.0	866.0
NVG_WGS_HCC1395_03-2_1	67.0	276.0	0.68	10.25	144.0	0.0	0.27	0.0	99.3	0.14	0.18000000000000002	0.47	22.0	0.0	99297.0	680	187.0	0.06999999999999999	100000	3.0	0.0	0.02	10248.0	0.0	472.0
NVG_WGS_HCC1395_03-2_2	62.0	289.0	0.71	10.38	142.0	0.0	0.29	0.0	99.13	0.14	0.56	0.8500000000000001	3.0	0.0	99136.0	710	569.0	0.06	100000	3.0	0.0	0.0	10391.0	0.0	850.0
SL_WGS_HCC1395BL_02-1_1	102.0	194.0	0.89	9.45	238.0	0.0	0.19	0.0	99.04000000000002	0.24	0.09999999999999999	0.36	6.0	0.0	99029.0	890	98.0	0.1	100000	0.0	0.0	0.01	9452.0	0.0	364.0
