"Sample","Temperature","T0.95","STDEV","Beta1","Beta1.std","Stability"
"Indels","-80°C",2.0369333434601,0.0456208981332185,9.94281674080757e-05,0.00127866014426902,"Yes"
"SNVs","-80°C",2.0369333434601,0.00895157462028247,0.000683124920826507,0.000219947066662984,"No"
