"type","Temperature","T0.95","STDEV","Beta1","Beta1.std","Stability"
"Indels","4°C",2.36462425159278,3.56457698056098,0.000303597730483295,0.000791460883139036,"Yes"
"SNVs","4°C",2.36462425159278,0.559159312233833,-0.000254885401059998,0.000102912536659952,"No"
