"Sample","Temperature","T0.95","Beta1","Beta1.std","Stability"
"HCC1395BL","4°C",2.22813885198627,0.000333333333333281,0.0020385179801894,"Yes"
"HCC1395","4°C",2.22813885198627,-0.00666666666666662,0.00169967317119762,"No"
"F7","4°C",2.22813885198627,-0.00366666666666659,0.00180739222823013,"Yes"
"HCC1395BL","25°C",2.22813885198627,-0.00199999999999998,0.00245854518861144,"Yes"
"HCC1395","25°C",2.22813885198627,-0.00233333333333327,0.00284018778721878,"Yes"
"F7","25°C",2.22813885198627,-0.00799999999999995,0.00250333111406915,"No"
"HCC1395BL","37°C",2.22813885198627,-0.00633333333333332,0.00243584345419268,"No"
"HCC1395","37°C",2.22813885198627,-0.00533333333333333,0.00150554530541816,"No"
"F7","37°C",2.22813885198627,-0.0166666666666666,0.0040276819911982,"No"
