,type,JI,source
478,snps,0.0973355,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSWGE_WGS_2023_1_TNseq_strelka.isec.HCR
479,indels,0.263818,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSWGE_WGS_2023_1_TNseq_strelka.isec.HCR
480,snps,0.0880539,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2021_1_TNseq_strelka.isec.HCR
481,indels,0.220051,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2021_1_TNseq_strelka.isec.HCR
482,snps,0.190755,WGS_WUX_2023_2_TNseq_strelka.isecVSBGI_T10_WGS_2023_3_TNseq_strelka.isec.HCR
483,indels,0.174883,WGS_WUX_2023_2_TNseq_strelka.isecVSBGI_T10_WGS_2023_3_TNseq_strelka.isec.HCR
484,snps,0.183509,NVG_WGS_2023_1_TNseq_strelka.isecVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
485,indels,0.177733,NVG_WGS_2023_1_TNseq_strelka.isecVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
486,snps,0.290848,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2021_3_TNseq_strelka.isec
487,indels,0.752548,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2021_3_TNseq_strelka.isec
488,snps,0.095892,BGI_T20_WGS_2023_2_TNseq_strelka.isec.HCRVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
489,indels,0.262985,BGI_T20_WGS_2023_2_TNseq_strelka.isec.HCRVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
490,snps,0.0875872,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
491,indels,0.210519,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
492,snps,0.112113,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
493,indels,0.250614,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
494,snps,0.301523,BGI_T20_WGS_2021_3_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
495,indels,0.678438,BGI_T20_WGS_2021_3_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
496,snps,0.168064,WGS_WUX_2023_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec
497,indels,0.154859,WGS_WUX_2023_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec
498,snps,0.665844,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSBGI_T20_WGS_2021_2_TNseq_strelka.isec.HCR
499,indels,0.34273,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSBGI_T20_WGS_2021_2_TNseq_strelka.isec.HCR
500,snps,0.628017,WGE_WGS_2023_1_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
501,indels,0.850649,WGE_WGS_2023_1_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
502,snps,0.0933732,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSBGI_T10_WGS_2021_1_TNseq_strelka.isec.HCR
503,indels,0.238324,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSBGI_T10_WGS_2021_1_TNseq_strelka.isec.HCR
504,snps,0.560441,BGI_T10_WGS_2021_1_TNseq_strelka.isecVSWGS_WUX_2023_2_TNseq_strelka.isec
505,indels,0.429805,BGI_T10_WGS_2021_1_TNseq_strelka.isecVSWGS_WUX_2023_2_TNseq_strelka.isec
506,snps,0.267212,BGI_T20_WGS_2021_1_TNseq_strelka.isecVSARD_WGS_2023_1_TNseq_strelka.isec
507,indels,0.669948,BGI_T20_WGS_2021_1_TNseq_strelka.isecVSARD_WGS_2023_1_TNseq_strelka.isec
508,snps,0.095552,BGI_T20_WGS_2023_2_TNseq_strelka.isec.HCRVSNVG_WGS_2023_1_TNseq_strelka.isec
509,indels,0.272529,BGI_T20_WGS_2023_2_TNseq_strelka.isec.HCRVSNVG_WGS_2023_1_TNseq_strelka.isec
510,snps,0.527712,BGI_T10_WGS_2021_3_TNseq_strelka.isecVSARD_WGS_2023_1_TNseq_strelka.isec
511,indels,0.678508,BGI_T10_WGS_2021_3_TNseq_strelka.isecVSARD_WGS_2023_1_TNseq_strelka.isec
512,snps,0.174597,WGS_WUX_2021_3_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec.HCR
513,indels,0.153525,WGS_WUX_2021_3_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec.HCR
514,snps,0.133633,BGI_T20_WGS_2021_3_TNseq_strelka.isec.HCRVSNVG_WGS_2023_1_TNseq_strelka.isec.HCR
515,indels,0.510019,BGI_T20_WGS_2021_3_TNseq_strelka.isec.HCRVSNVG_WGS_2023_1_TNseq_strelka.isec.HCR
516,snps,0.175192,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_1_TNseq_strelka.isec
517,indels,0.178063,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_1_TNseq_strelka.isec
518,snps,0.206496,NVG_WGS_2023_1_TNseq_strelka.isecVSWGE_WGS_2023_1_TNseq_strelka.isec.HCR
519,indels,0.315925,NVG_WGS_2023_1_TNseq_strelka.isecVSWGE_WGS_2023_1_TNseq_strelka.isec.HCR
520,snps,0.109779,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSNVG_WGS_2023_1_TNseq_strelka.isec.HCR
521,indels,0.502524,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSNVG_WGS_2023_1_TNseq_strelka.isec.HCR
522,snps,0.554731,WGS_WUX_2021_3_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec
523,indels,0.450147,WGS_WUX_2021_3_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec
524,snps,0.0879988,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2023_2_TNseq_strelka.isec
525,indels,0.263019,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2023_2_TNseq_strelka.isec
526,snps,0.295456,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2021_3_TNseq_strelka.isec
527,indels,0.639968,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2021_3_TNseq_strelka.isec
528,snps,0.0933461,WGS_WUX_2021_3_TNseq_strelka.isecVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
529,indels,0.152804,WGS_WUX_2021_3_TNseq_strelka.isecVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
530,snps,0.150833,BGI_T7_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
531,indels,0.671842,BGI_T7_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
532,snps,0.136157,BGI_T20_WGS_2023_2_TNseq_strelka.isec.HCRVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
533,indels,0.3108,BGI_T20_WGS_2023_2_TNseq_strelka.isec.HCRVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
534,snps,0.289033,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSBGI_T10_WGS_2021_3_TNseq_strelka.isec
535,indels,0.789739,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSBGI_T10_WGS_2021_3_TNseq_strelka.isec
536,snps,0.180532,WGS_WUX_2023_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
537,indels,0.159195,WGS_WUX_2023_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
538,snps,0.314956,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSWGE_WGS_2023_1_TNseq_strelka.isec
539,indels,0.75368,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSWGE_WGS_2023_1_TNseq_strelka.isec
540,snps,0.184061,WGE_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_1_TNseq_strelka.isec
541,indels,0.20675,WGE_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_1_TNseq_strelka.isec
542,snps,0.0898252,BGI_T20_WGS_2021_3_TNseq_strelka.isecVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
543,indels,0.141886,BGI_T20_WGS_2021_3_TNseq_strelka.isecVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
544,snps,0.205299,WGS_WUX_2021_3_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
545,indels,0.17009,WGS_WUX_2021_3_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
546,snps,0.400975,WGS_WUX_2023_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
547,indels,0.278943,WGS_WUX_2023_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
548,snps,0.279134,BGI_T20_WGS_2021_1_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
549,indels,0.675231,BGI_T20_WGS_2021_1_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
550,snps,0.179584,WGS_WUX_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
551,indels,0.154377,WGS_WUX_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
552,snps,0.549384,BGI_T10_WGS_2021_3_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
553,indels,0.690525,BGI_T10_WGS_2021_3_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
554,snps,0.461833,NVG_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_2_TNseq_strelka.isec.HCR
555,indels,0.66722,NVG_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_2_TNseq_strelka.isec.HCR
556,snps,0.612566,WGS_WUX_2023_3_TNseq_strelka.isecVSWGS_WUX_2021_1_TNseq_strelka.isec
557,indels,0.403105,WGS_WUX_2023_3_TNseq_strelka.isecVSWGS_WUX_2021_1_TNseq_strelka.isec
558,snps,0.396123,WGS_WUX_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
559,indels,0.256898,WGS_WUX_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
560,snps,0.297428,WGS_WUX_2023_3_TNseq_strelka.isecVSBGI_T20_WGS_2023_2_TNseq_strelka.isec
561,indels,0.501556,WGS_WUX_2023_3_TNseq_strelka.isecVSBGI_T20_WGS_2023_2_TNseq_strelka.isec
562,snps,0.607073,WGS_WUX_2023_1_TNseq_strelka.isecVSWGS_WUX_2021_1_TNseq_strelka.isec
563,indels,0.384904,WGS_WUX_2023_1_TNseq_strelka.isecVSWGS_WUX_2021_1_TNseq_strelka.isec
564,snps,0.0865454,BGI_T20_WGS_2023_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_1_TNseq_strelka.isec
565,indels,0.158087,BGI_T20_WGS_2023_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_1_TNseq_strelka.isec
566,snps,0.0842021,BGI_T20_WGS_2023_2_TNseq_strelka.isecVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
567,indels,0.153865,BGI_T20_WGS_2023_2_TNseq_strelka.isecVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
568,snps,0.192929,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec.HCR
569,indels,0.268385,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec.HCR
570,snps,0.16985,BGI_T10_WGS_2023_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
571,indels,0.159196,BGI_T10_WGS_2023_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
572,snps,0.18244,BGI_T10_WGS_2023_2_TNseq_strelka.isec.HCRVSARD_WGS_2023_1_TNseq_strelka.isec
573,indels,0.268342,BGI_T10_WGS_2023_2_TNseq_strelka.isec.HCRVSARD_WGS_2023_1_TNseq_strelka.isec
574,snps,0.186928,WGS_WUX_2021_1_TNseq_strelka.isec.HCRVSWGS_WUX_2023_2_TNseq_strelka.isec
575,indels,0.148376,WGS_WUX_2021_1_TNseq_strelka.isec.HCRVSWGS_WUX_2023_2_TNseq_strelka.isec
576,snps,0.421122,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_1_TNseq_strelka.isec.HCR
577,indels,0.30622,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_1_TNseq_strelka.isec.HCR
578,snps,0.187554,NVG_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_2_TNseq_strelka.isec
579,indels,0.24784,NVG_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_2_TNseq_strelka.isec
580,snps,0.418104,BGI_T10_WGS_2023_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
581,indels,0.574931,BGI_T10_WGS_2023_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
582,snps,0.143835,NVG_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
583,indels,0.658515,NVG_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
584,snps,0.180038,WGS_WUX_2023_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_1_TNseq_strelka.isec
585,indels,0.146105,WGS_WUX_2023_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_1_TNseq_strelka.isec
586,snps,0.300633,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSARD_WGS_2023_1_TNseq_strelka.isec
587,indels,0.745215,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSARD_WGS_2023_1_TNseq_strelka.isec
588,snps,0.075924,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSWGS_WUX_2023_2_TNseq_strelka.isec.HCR
589,indels,0.147295,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSWGS_WUX_2023_2_TNseq_strelka.isec.HCR
590,snps,0.581717,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec
591,indels,0.702137,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec
592,snps,0.2898,BGI_T20_WGS_2023_3_TNseq_strelka.isecVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
593,indels,0.792233,BGI_T20_WGS_2023_3_TNseq_strelka.isecVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
594,snps,0.205177,BGI_T10_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
595,indels,0.25074,BGI_T10_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
596,snps,0.0957447,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSWGS_WUX_2023_3_TNseq_strelka.isec.HCR
597,indels,0.186038,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSWGS_WUX_2023_3_TNseq_strelka.isec.HCR
598,snps,0.496166,BGI_T10_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
599,indels,0.291344,BGI_T10_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
600,snps,0.41254,NVG_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
601,indels,0.320289,NVG_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
602,snps,0.153234,BGI_T20_WGS_2021_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_3_TNseq_strelka.isec.HCR
603,indels,0.675768,BGI_T20_WGS_2021_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_3_TNseq_strelka.isec.HCR
604,snps,0.44749,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_1_TNseq_strelka.isec.HCR
605,indels,0.67123,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_1_TNseq_strelka.isec.HCR
606,snps,0.0827731,BGI_T20_WGS_2021_1_TNseq_strelka.isecVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
607,indels,0.145892,BGI_T20_WGS_2021_1_TNseq_strelka.isecVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
608,snps,0.178504,NVG_WGS_2023_1_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
609,indels,0.186098,NVG_WGS_2023_1_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
610,snps,0.55435,BGI_T10_WGS_2023_2_TNseq_strelka.isecVSARD_WGS_2023_1_TNseq_strelka.isec
611,indels,0.740575,BGI_T10_WGS_2023_2_TNseq_strelka.isecVSARD_WGS_2023_1_TNseq_strelka.isec
612,snps,0.106099,BGI_T20_WGS_2021_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
613,indels,0.175569,BGI_T20_WGS_2021_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
614,snps,0.0992199,BGI_T10_WGS_2021_1_TNseq_strelka.isecVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
615,indels,0.206415,BGI_T10_WGS_2021_1_TNseq_strelka.isecVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
616,snps,0.190891,WGS_WUX_2023_3_TNseq_strelka.isecVSWGS_WUX_2021_1_TNseq_strelka.isec.HCR
617,indels,0.152059,WGS_WUX_2023_3_TNseq_strelka.isecVSWGS_WUX_2021_1_TNseq_strelka.isec.HCR
618,snps,0.186544,BGI_T10_WGS_2023_2_TNseq_strelka.isec.HCRVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
619,indels,0.255681,BGI_T10_WGS_2023_2_TNseq_strelka.isec.HCRVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
620,snps,0.176623,BGI_T10_WGS_2021_3_TNseq_strelka.isecVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
621,indels,0.147185,BGI_T10_WGS_2021_3_TNseq_strelka.isecVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
622,snps,0.166185,BGI_T20_WGS_2021_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
623,indels,0.65787,BGI_T20_WGS_2021_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
624,snps,0.0943026,BGI_T20_WGS_2021_3_TNseq_strelka.isec.HCRVSWGS_WUX_2023_1_TNseq_strelka.isec
625,indels,0.146323,BGI_T20_WGS_2021_3_TNseq_strelka.isec.HCRVSWGS_WUX_2023_1_TNseq_strelka.isec
626,snps,0.191408,WGS_WUX_2023_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
627,indels,0.170525,WGS_WUX_2023_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
628,snps,0.538004,WGE_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2021_2_TNseq_strelka.isec
629,indels,0.682321,WGE_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2021_2_TNseq_strelka.isec
630,snps,0.313146,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
631,indels,0.751949,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
632,snps,0.0821787,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSWGS_WUX_2023_1_TNseq_strelka.isec
633,indels,0.151441,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSWGS_WUX_2023_1_TNseq_strelka.isec
634,snps,0.19687,WGS_WUX_2023_3_TNseq_strelka.isecVSBGI_T10_WGS_2023_1_TNseq_strelka.isec.HCR
635,indels,0.177829,WGS_WUX_2023_3_TNseq_strelka.isecVSBGI_T10_WGS_2023_1_TNseq_strelka.isec.HCR
636,snps,0.197039,BGI_T10_WGS_2021_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
637,indels,0.182037,BGI_T10_WGS_2021_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
638,snps,0.130541,BGI_T20_WGS_2021_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_3_TNseq_strelka.isec.HCR
639,indels,0.550814,BGI_T20_WGS_2021_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_3_TNseq_strelka.isec.HCR
640,snps,0.20398,NVG_WGS_2023_1_TNseq_strelka.isecVSWGS_WUX_2023_3_TNseq_strelka.isec.HCR
641,indels,0.220735,NVG_WGS_2023_1_TNseq_strelka.isecVSWGS_WUX_2023_3_TNseq_strelka.isec.HCR
642,snps,0.486788,BGI_T10_WGS_2021_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
643,indels,0.683343,BGI_T10_WGS_2021_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
644,snps,0.192963,WGE_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_1_TNseq_strelka.isec
645,indels,0.177974,WGE_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_1_TNseq_strelka.isec
646,snps,0.577773,BGI_T10_WGS_2023_2_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
647,indels,0.753786,BGI_T10_WGS_2023_2_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
648,snps,0.307629,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSNVG_WGS_2023_1_TNseq_strelka.isec
649,indels,0.705659,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSNVG_WGS_2023_1_TNseq_strelka.isec
650,snps,0.140469,BGI_T20_WGS_2021_3_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_1_TNseq_strelka.isec
651,indels,0.243401,BGI_T20_WGS_2021_3_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_1_TNseq_strelka.isec
652,snps,0.173134,BGI_T10_WGS_2021_3_TNseq_strelka.isecVSNVG_WGS_2023_1_TNseq_strelka.isec.HCR
653,indels,0.208274,BGI_T10_WGS_2021_3_TNseq_strelka.isecVSNVG_WGS_2023_1_TNseq_strelka.isec.HCR
654,snps,0.545135,BGI_T10_WGS_2021_2_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec
655,indels,0.485279,BGI_T10_WGS_2021_2_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec
656,snps,0.300949,WGS_WUX_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2021_3_TNseq_strelka.isec
657,indels,0.429462,WGS_WUX_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2021_3_TNseq_strelka.isec
658,snps,0.1199,BGI_T20_WGS_2023_3_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_3_TNseq_strelka.isec
659,indels,0.212084,BGI_T20_WGS_2023_3_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_3_TNseq_strelka.isec
660,snps,0.0944108,BGI_T20_WGS_2023_2_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec.HCR
661,indels,0.25814,BGI_T20_WGS_2023_2_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec.HCR
662,snps,0.368645,BGI_T10_WGS_2021_2_TNseq_strelka.isecVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
663,indels,0.328189,BGI_T10_WGS_2021_2_TNseq_strelka.isecVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
664,snps,0.14756,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_1_TNseq_strelka.isec
665,indels,0.243707,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_1_TNseq_strelka.isec
666,snps,0.141706,BGI_T20_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
667,indels,0.54854,BGI_T20_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
668,snps,0.0874564,BGI_T20_WGS_2023_2_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
669,indels,0.167168,BGI_T20_WGS_2023_2_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
670,snps,0.132546,BGI_T7_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2023_3_TNseq_strelka.isec.HCR
671,indels,0.657615,BGI_T7_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2023_3_TNseq_strelka.isec.HCR
672,snps,0.502573,WGS_WUX_2023_2_TNseq_strelka.isec.HCRVSNVG_WGS_2023_1_TNseq_strelka.isec.HCR
673,indels,0.349377,WGS_WUX_2023_2_TNseq_strelka.isec.HCRVSNVG_WGS_2023_1_TNseq_strelka.isec.HCR
674,snps,0.560934,BGI_T10_WGS_2023_3_TNseq_strelka.isecVSWGS_WUX_2021_1_TNseq_strelka.isec
675,indels,0.438894,BGI_T10_WGS_2023_3_TNseq_strelka.isecVSWGS_WUX_2021_1_TNseq_strelka.isec
676,snps,0.133065,BGI_T20_WGS_2023_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
677,indels,0.535888,BGI_T20_WGS_2023_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
678,snps,0.311594,BGI_T20_WGS_2021_3_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec
679,indels,0.481774,BGI_T20_WGS_2021_3_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec
680,snps,0.132019,BGI_T20_WGS_2023_2_TNseq_strelka.isecVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
681,indels,0.2603,BGI_T20_WGS_2023_2_TNseq_strelka.isecVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
682,snps,0.579933,WGE_WGS_2023_1_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec
