,type,JI,source
40,snps,0.0874731,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_3_TNseq_strelka.isec
41,indels,0.209169,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_3_TNseq_strelka.isec
42,snps,0.0925735,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
43,indels,0.18188,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
44,snps,0.0932169,BGI_T20_WGS_2023_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec
45,indels,0.21182,BGI_T20_WGS_2023_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec
46,snps,0.139918,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
47,indels,0.633918,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
48,snps,0.167368,ARD_WGS_2023_1_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
49,indels,0.188045,ARD_WGS_2023_1_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
50,snps,0.536779,BGI_T7_WGS_2023_1_TNseq_strelka.isec.HCRVSNVG_WGS_2023_1_TNseq_strelka.isec.HCR
51,indels,0.760851,BGI_T7_WGS_2023_1_TNseq_strelka.isec.HCRVSNVG_WGS_2023_1_TNseq_strelka.isec.HCR
52,snps,0.18772,NVG_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
53,indels,0.243227,NVG_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
54,snps,0.53968,WGS_WUX_2023_2_TNseq_strelka.isec.HCRVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
55,indels,0.259629,WGS_WUX_2023_2_TNseq_strelka.isec.HCRVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
56,snps,0.173912,WGS_WUX_2021_1_TNseq_strelka.isec.HCRVSARD_WGS_2023_1_TNseq_strelka.isec
57,indels,0.17754,WGS_WUX_2021_1_TNseq_strelka.isec.HCRVSARD_WGS_2023_1_TNseq_strelka.isec
58,snps,0.0833607,WGE_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2021_2_TNseq_strelka.isec.HCR
59,indels,0.221015,WGE_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2021_2_TNseq_strelka.isec.HCR
60,snps,0.518531,NVG_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
61,indels,0.345252,NVG_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
