"Sample","Temperature","T0.95","STDEV","Beta1","Beta1.std","Stability"
"InDels","-80°C",2.05183051648029,0.0198208673888451,0.000900698951217251,0.000148596233007227,"No"
"SNVs","-80°C",2.05183051648029,0.00493504225931268,-0.000129101594124185,5.11291169478769e-05,"No"
