type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score
SNVs,58418,52109,52058,51,6360,0.891129446404,0.999021282312,WGE_WGS_2023_1.TNseq.SNV.F1,0.9419960733578833
records,58418,57452,52058,5394,6360,0.891129446404,0.906112929054,WGE_WGS_2023_1.TNseq.SNV.F1,0.8985587296111109
SNVs,58418,54829,54122,707,4296,0.926461022288,0.98710536395,WGS_WUX_2021_1.strelka.SNV.F1,0.9558222292867371
records,58418,60012,54122,5890,4296,0.926461022288,0.901852962741,WGS_WUX_2021_1.strelka.SNV.F1,0.9139913873176828
SNVs,58418,66875,52321,14554,6097,0.895631483447,0.782370093458,WGS_WUX_2021_1.TNscope.SNV.F1,0.8351783419665136
records,58418,72718,52321,20397,6097,0.895631483447,0.71950548695,WGS_WUX_2021_1.TNscope.SNV.F1,0.7979654709617456
SNVs,58418,49171,49101,70,9317,0.840511486186,0.998576396657,WGS_WUX_2021_1.TNseq.norm.SNV.F1,0.9127513035722467
records,58418,53809,49101,4708,9317,0.840511486186,0.912505342972,WGS_WUX_2021_1.TNseq.norm.SNV.F1,0.8750300729770507
SNVs,58418,49171,49101,70,9317,0.840511486186,0.998576396657,WGS_WUX_2021_1.TNseq.SNV.F1,0.9127513035722467
records,58418,53809,49101,4708,9317,0.840511486186,0.912505342972,WGS_WUX_2021_1.TNseq.SNV.F1,0.8750300729770507
SNVs,58418,55135,54366,769,4052,0.930637817111,0.986052416795,WGS_WUX_2021_2.strelka.SNV.F1,0.9575440543180953
records,58418,60342,54366,5976,4052,0.930637817111,0.900964502337,WGS_WUX_2021_2.strelka.SNV.F1,0.9155607948805163
SNVs,58418,78422,51297,27125,7121,0.878102639597,0.654114916733,WGS_WUX_2021_2.TNscope.SNV.F1,0.7497369190296793
records,58418,84157,51297,32860,7121,0.878102639597,0.609539313426,WGS_WUX_2021_2.TNscope.SNV.F1,0.7195791688582992
SNVs,58418,49019,48970,49,9448,0.83826902667,0.999000387605,WGS_WUX_2021_2.TNseq.norm.SNV.F1,0.9116040097919471
records,58418,53518,48970,4548,9448,0.83826902667,0.915019245861,WGS_WUX_2021_2.TNseq.norm.SNV.F1,0.8749642652944353
SNVs,58418,49019,48970,49,9448,0.83826902667,0.999000387605,WGS_WUX_2021_2.TNseq.SNV.F1,0.9116040097919471
records,58418,53518,48970,4548,9448,0.83826902667,0.915019245861,WGS_WUX_2021_2.TNseq.SNV.F1,0.8749642652944353
SNVs,58418,55168,54349,819,4069,0.930346810914,0.985154437355,WGS_WUX_2021_3.strelka.SNV.F1,0.9569665275647872
records,58418,60391,54349,6042,4069,0.930346810914,0.8999519796,WGS_WUX_2021_3.strelka.SNV.F1,0.9148970195860453
SNVs,58418,74956,53130,21826,5288,0.909479954808,0.708815838625,WGS_WUX_2021_3.TNscope.SNV.F1,0.7967070043632901
records,58418,81084,53130,27954,5288,0.909479954808,0.655246411129,WGS_WUX_2021_3.TNscope.SNV.F1,0.7617095095407895
SNVs,58418,49246,49183,63,9235,0.841915163135,0.998720708281,WGS_WUX_2021_3.TNseq.norm.SNV.F1,0.9136387278944474
records,58418,54041,49183,4858,9235,0.841915163135,0.910105290428,WGS_WUX_2021_3.TNseq.norm.SNV.F1,0.8746832178842069
SNVs,58418,49246,49183,63,9235,0.841915163135,0.998720708281,WGS_WUX_2021_3.TNseq.SNV.F1,0.9136387278944474
records,58418,54041,49183,4858,9235,0.841915163135,0.910105290428,WGS_WUX_2021_3.TNseq.SNV.F1,0.8746832178842069
SNVs,58418,58458,57666,792,752,0.987127255298,0.986451811557,WGS_WUX_2023_1.strelka.SNV.F1,0.9867894178445332
records,58418,63753,57666,6087,752,0.987127255298,0.904522140135,WGS_WUX_2023_1.strelka.SNV.F1,0.9440210852004686
SNVs,58418,70847,55563,15284,2855,0.951128076963,0.784267506034,WGS_WUX_2023_1.TNscope.SNV.F1,0.859675859668217
records,58418,76764,55563,21201,2855,0.951128076963,0.72381585118,WGS_WUX_2023_1.TNscope.SNV.F1,0.8220473139915092
SNVs,58418,52222,52134,88,6284,0.892430415283,0.998314886446,WGS_WUX_2023_1.TNseq.norm.SNV.F1,0.9424078091105061
records,58418,56733,52134,4599,6284,0.892430415283,0.918936068955,WGS_WUX_2023_1.TNseq.norm.SNV.F1,0.9054893140313676
SNVs,58418,52222,52134,88,6284,0.892430415283,0.998314886446,WGS_WUX_2023_1.TNseq.SNV.F1,0.9424078091105061
records,58418,56733,52134,4599,6284,0.892430415283,0.918936068955,WGS_WUX_2023_1.TNseq.SNV.F1,0.9054893140313676
SNVs,58418,58452,57672,780,746,0.987229963367,0.986655717512,WGS_WUX_2023_2.strelka.SNV.F1,0.9869427569092567
records,58418,63783,57672,6111,746,0.987229963367,0.904190771836,WGS_WUX_2023_2.strelka.SNV.F1,0.9438875295618764
SNVs,58418,75498,56366,19132,2052,0.964873840255,0.746589313624,WGS_WUX_2023_2.TNscope.SNV.F1,0.8418112846859024
records,58418,81816,56366,25450,2052,0.964873840255,0.688936149408,WGS_WUX_2023_2.TNscope.SNV.F1,0.8038849351795777
SNVs,58418,52388,52317,71,6101,0.895563011401,0.9986447278,WGS_WUX_2023_2.TNseq.norm.SNV.F1,0.9442990451781677
records,58418,57176,52317,4859,6101,0.895563011401,0.915016790262,WGS_WUX_2023_2.TNseq.norm.SNV.F1,0.9051853902455471
SNVs,58418,52388,52317,71,6101,0.895563011401,0.9986447278,WGS_WUX_2023_2.TNseq.SNV.F1,0.9442990451781677
records,58418,57176,52317,4859,6101,0.895563011401,0.915016790262,WGS_WUX_2023_2.TNseq.SNV.F1,0.9051853902455471
SNVs,58418,58599,57757,842,661,0.988684994351,0.985631154115,WGS_WUX_2023_3.strelka.SNV.F1,0.9871557124176965
records,58418,63970,57757,6213,661,0.988684994351,0.902876348288,WGS_WUX_2023_3.strelka.SNV.F1,0.9438343628458629
SNVs,58418,77745,56607,21138,1811,0.968999281044,0.728111132549,WGS_WUX_2023_3.TNscope.SNV.F1,0.8314593538630133
records,58418,84321,56607,27714,1811,0.968999281044,0.671327427331,WGS_WUX_2023_3.TNscope.SNV.F1,0.7931539383069545
SNVs,58418,52747,52658,89,5760,0.901400253347,0.998312700248,WGS_WUX_2023_3.TNseq.norm.SNV.F1,0.9473845185086002
records,58418,57722,52658,5064,5760,0.901400253347,0.912269152143,WGS_WUX_2023_3.TNseq.norm.SNV.F1,0.9068021353540852
SNVs,58418,52747,52658,89,5760,0.901400253347,0.998312700248,WGS_WUX_2023_3.TNseq.SNV.F1,0.9473845185086002
records,58418,57722,52658,5064,5760,0.901400253347,0.912269152143,WGS_WUX_2023_3.TNseq.SNV.F1,0.9068021353540852
