type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score
records,58418,64278,56875,7403,1543,0.973586908145,0.88482840163,BGI_T7_WGS_2023_1.TNscope.SNV.F1,0.9270880876311027
indels,5053,5917,4033,1884,1020,0.798139718979,0.681595403076,WGS_WUX_2023_1.TNscope.Indel.F1,0.7352780309937615
records,5053,76764,4033,72731,1020,0.798139718979,0.0525376478558,WGS_WUX_2023_1.TNscope.Indel.F1,0.09858586846260615
SNVs,58418,52835,52787,48,5631,0.903608476839,0.999091511309,BGI_T7_WGS_2023_1.TNseq.norm.SNV.F1,0.9489541855050219
records,58418,58846,52787,6059,5631,0.903608476839,0.897036332121,BGI_T7_WGS_2023_1.TNseq.norm.SNV.F1,0.9003104106970008
indels,5053,3960,3199,761,1854,0.633089253909,0.807828282828,WGS_WUX_2023_1.TNseq.norm.Indel.F1,0.7098635304561696
records,5053,56733,3199,53534,1854,0.633089253909,0.0563869352934,WGS_WUX_2023_1.TNseq.norm.Indel.F1,0.10355096623832591
SNVs,58418,52835,52787,48,5631,0.903608476839,0.999091511309,BGI_T7_WGS_2023_1.TNseq.SNV.F1,0.9489541855050219
records,58418,58846,52787,6059,5631,0.903608476839,0.897036332121,BGI_T7_WGS_2023_1.TNseq.SNV.F1,0.9003104106970008
indels,5053,3960,3199,761,1854,0.633089253909,0.807828282828,WGS_WUX_2023_1.TNseq.Indel.F1,0.7098635304561696
records,5053,56733,3199,53534,1854,0.633089253909,0.0563869352934,WGS_WUX_2023_1.TNseq.Indel.F1,0.10355096623832591
SNVs,58418,0,0,0,58418,0.0,0.0,merge_test.SNV.F1,0.0
records,58418,0,0,0,58418,0.0,0.0,merge_test.SNV.F1,0.0
indels,5053,5331,4617,714,436,0.913714624975,0.866066404052,WGS_WUX_2023_2.strelka.Indel.F1,0.889252696456082
records,5053,63783,4617,59166,436,0.913714624975,0.0723860589812,WGS_WUX_2023_2.strelka.Indel.F1,0.1341449241675268
SNVs,58418,58176,57044,1132,1374,0.9764798521,0.98054180418,NVG_WGS_2023_1.strelka.SNV.F1,0.978506612689791
records,58418,63934,57044,6890,1374,0.9764798521,0.892232614884,NVG_WGS_2023_1.strelka.SNV.F1,0.9324571727472553
indels,5053,6318,4177,2141,876,0.826637641005,0.661126938905,WGS_WUX_2023_2.TNscope.Indel.F1,0.7346759299974011
records,5053,81816,4177,77639,876,0.826637641005,0.0510535836511,WGS_WUX_2023_2.TNscope.Indel.F1,0.0961677928835002
SNVs,58418,65154,51357,13797,7061,0.879129720292,0.788240169445,NVG_WGS_2023_1.TNscope.SNV.F1,0.8312077169588391
records,58418,77269,51357,25912,7061,0.879129720292,0.664652059688,NVG_WGS_2023_1.TNscope.SNV.F1,0.7569921952733281
indels,5053,4234,3455,779,1598,0.6837522264,0.816013226264,WGS_WUX_2023_2.TNseq.norm.Indel.F1,0.7440508237321792
records,5053,57176,3455,53721,1598,0.6837522264,0.0604274520778,WGS_WUX_2023_2.TNseq.norm.Indel.F1,0.11104147583924551
